x,y,CLIMATE_IDENTIFIER,STATION_NAME,STN_ID,ID,SOURCE,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.7,DLY02,2009-04-07 00:00:00,NS,2009,4,7,4.4,,-1.3,,10,,14.7,,,M,,M,,,13,,50,,0,,13.6,,94,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.8,DLY02,2009-04-08 00:00:00,NS,2009,4,8,5.8,,1.8,,9.8,,8.6,,,M,,M,,,24,,52,,0,,12.2,,65,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.9,DLY02,2009-04-09 00:00:00,NS,2009,4,9,4.7,,-0.6,,10,,0,,,M,,M,,,20,,50,,0,,13.3,,50,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.10,DLY02,2009-04-10 00:00:00,NS,2009,4,10,5.1,,-2.1,,12.3,,0,,,M,,M,,,27,,41,,0,,12.9,,48,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.11,DLY02,2009-04-11 00:00:00,NS,2009,4,11,4.3,,-1.9,,10.5,,12.7,,,M,,M,,,10,,44,,0,,13.7,,44,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.12,DLY02,2009-04-12 00:00:00,NS,2009,4,12,5.1,,0.1,,10.1,,42.2,,,M,,M,,,15,,65,,0,,12.9,,98,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.13,DLY02,2009-04-13 00:00:00,NS,2009,4,13,1.9,,-0.7,,4.5,,0,,,M,,M,,,18,,57,,0,,16.1,,74,,96,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.14,DLY02,2009-04-14 00:00:00,NS,2009,4,14,1.5,,-1.5,,4.4,,0,,,M,,M,,,26,,54,,0,,16.5,,69,,95,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.15,DLY02,2009-04-15 00:00:00,NS,2009,4,15,1.5,,-2.4,,5.4,,0,,,M,,M,,,31,,50,,0,,16.5,,47,,84,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.16,DLY02,2009-04-16 00:00:00,NS,2009,4,16,-3.2,,-7.5,,1.1,,0,,,M,,M,,,33,,50,,0,,21.2,,49,,80,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.17,DLY02,2009-04-17 00:00:00,NS,2009,4,17,-1.1,,-7.8,,5.7,,0,,,M,,M,,,27,,50,,0,,19.1,,22,,85,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.18,DLY02,2009-04-18 00:00:00,NS,2009,4,18,-3.3,,-8.9,,2.4,,0.4,,,M,,M,,,34,,44,,0,,21.3,,50,,84,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.19,DLY02,2009-04-19 00:00:00,NS,2009,4,19,-0.7,,-7.6,,6.3,,0,,,M,,M,,,1,,33,,0,,18.7,,45,,93,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.20,DLY02,2009-04-20 00:00:00,NS,2009,4,20,-0.4,,-7.9,,7.2,,0.6,,,M,,M,,,0,,0,,0,,18.4,,33,,93,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.21,DLY02,2009-04-21 00:00:00,NS,2009,4,21,1.8,,-7,,10.6,,0.6,,,M,,M,,,13,,39,,0,,16.2,,26,,97,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.22,DLY02,2009-04-22 00:00:00,NS,2009,4,22,6.9,,2.5,,11.2,,4.5,,,M,,M,,,17,,61,,0,,11.1,,89,,98,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.23,DLY02,2009-04-23 00:00:00,NS,2009,4,23,7.7,,4.1,,11.2,,9.6,,,M,,M,,,15,,80,,0,,10.3,,75,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.24,DLY02,2009-04-24 00:00:00,NS,2009,4,24,5.2,,-0.3,,10.7,,0,,,M,,M,,,20,,59,,0,,12.8,,62,,98,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.25,DLY02,2009-04-25 00:00:00,NS,2009,4,25,10.2,,-0.4,,20.8,,0.4,,,M,,M,,,18,,33,,0,,7.8,,26,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.26,DLY02,2009-04-26 00:00:00,NS,2009,4,26,6.6,,0.8,,12.4,,0,,,M,,M,,,33,,67,,0,,11.4,,63,,95,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.27,DLY02,2009-04-27 00:00:00,NS,2009,4,27,5.5,,-0.4,,11.3,,0,,,M,,M,,,20,,33,,0,,12.5,,22,,88,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.28,DLY02,2009-04-28 00:00:00,NS,2009,4,28,14.3,,3.3,,25.3,,0,,,M,,M,,,30,,65,,0,,3.7,,41,,86,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.4.29,DLY02,2009-04-29 00:00:00,NS,2009,4,29,1.8,,-2.8,,6.4,,0,,,M,,M,,,32,,70,,0,,16.2,,42,,85,
